case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"- Hiển thị đúng width height đã setting, text sẽ không tràn viền,   
- Text nhập đến đâu, width tự tăng đến đó, chạm viền collumng thì text tự động drop xuống  
- Chiều cao của Block tăng theo dòng mới tạo do chữ drop xuống

",50
79588,1416,SB_WEB_BUILDER_LB_BH_02,"Check background, border, opacity, radus, shadow, padding, margin block heading",1,,"Check background, border, opacity, radus, shadow, padding, margin block heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, block Heading 1 (text nhiều dòng)  
- Position static = ON

",1,0,0,0,15,187,,0,"Click vào block heading

",,"Hiển thị block setting ở sidebar

",50
,,,,,,,,,,,,,,,,"Setting style của block heading:  
- Background: có chọn color (có opacity) + upload ảnh  
- border: size 3, color = 1 trong 5 bộ màu của page style  
- opacity = 100  
- radius = 100  
- shadow = strong  
- padding = 5px 10px 5px 10px  
- margin = 15px 20px 15px 20px

",,"Trên preview, hiển thị đúng như setting 

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng như setting 

",50
,,,,,,,,,,,,,,,,"Setting style của block heading:  
- Background: không chọn color + chọn ảnh từ library  
- border: size 5, color = màu custom  
- opacity = 80  
- radius = 10  
- shadow = light  
- padding = 5px 0px 5px 0px  
- margin = 0px 20px 15px 20px

",,"Trên preview, hiển thị đúng như setting 

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng như setting 

",50
,,,,,,,,,,,,,,,,"Setting style của block heading:  
- Background: chọn color + không ảnh  
- border: size 5, color = none  
- opacity = 20  
- radius = 0  
- shadow = medium  
- padding = 0px 0px 15px 0px  
- margin = 0px 0px 15px 20px

",,"Trên preview, hiển thị đúng như setting 

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Hiển thị đúng như setting 

",50
,,,,,,,,,,,,,,,,"Setting style của block heading:  
- Background: none  
- border: size 0, color = có màu  
- opacity = 0  
- radius = 0  
- shadow = none  
- padding = 0px 0px 0px 0px  
- margin = 0px 0px 0px 0px

",,"Trên preview, không hiển thị block heading

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Không hiển thị block heading vừa setting

",50
79589,1416,SB_WEB_BUILDER_LB_BH_03,Check remove block heading,1,,"Check remove block heading

","- Shop: https://au-wsb-sections.onshopbase.com/  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang setting Override website style = off  
- Đã add section A gồm 1 row, 1 column, block Heading 1 (text nhiều dòng)  
- Position static = ON

",1,0,0,0,16,187,,0,"Click vào block heading

",,"Hiển thị block setting ở sidebar

",50
,,,,,,,,,,,,,,,,"Click button remove block ở sidebar

",,"Preview Không hiển thị block heading vừa xóa

",50
,,,,,,,,,,,,,,,,"Save và check hiển thị ngoài SF

",,"Không hiển thị block heading vừa xóa

",50
87881,1416,SB_WEB_BUILDER_LB_BH_08,Tab setting\_Check setting button với action = Send to email,1,,"Check setting button với action = Send to email

","- Shop: https://wb-block-heading.onshopbase.com/  

- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F  

- Product page> Add mới product > Design sale page  

- Sale page có 1 list các section với các setting sau:  

+ Section 1, 2, 3, 4 đều chứa block button

",0,0,0,0,50,187,,0,"- Setting heading trong section 1:  

+ Label = Email 1  

+ Action = Send to email  

+ Email = Nhập đúng định dạng email + email có tồn tại (shopbase@beeketing.net)


- Setting heading trong section 2:  

+ Label = Email 2  

+ Action = Send to email  

+ Email = Nhập đúng định dạng email + email không tồn tại (abc@beeketing.net)


- Setting heading trong section 3:  

+ Label = Email 3  

+ Action = Send to email  

+ Email = Nhập sai định dạng email (abc)


- Setting heading trong section 4:  

+ Label = Email 4  

+ Action = Send to email  

+ Email = Để trống

",,"- Trên webfront hiển thị 4 heading với text tương ứng như setting

",50
,,,,,,,,,,,,,,,,"Click vào các heading trên webfront

",,"Không có action gì xảy ra

",50
,,,,,,,,,,,,,,,,"Click save > click icon preview trên thanh bar

",,"Trên SF hiển thị 4 heading với text tương ứng

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 1

",,"- Điều hướng tới mailto: + email đã nhập

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 2

",,"- Điều hướng tới mailto: + email đã nhập

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 3

",,"Không có action gì xảy ra

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 4

",,"Không có action gì xảy ra

",50
87880,1416,SB_WEB_BUILDER_LB_BH_07,Actions links\_Check setting text với action = Make a call,1,,"Actions links\_Check setting text với action = Make a call

","- Shop: https://wb-block-heading.onshopbase.com/  

- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F  

- Shop có theme v3, đang customize theme này, có các section với các setting sau:  

+ Section 1, 2, 3, 4, 5, 6, 7 đều chứa block heading

",0,0,0,0,50,187,,0,"- Setting heading trong section 1:  

+ Label = Make a call 1  

+ Action = Make a call  

+ Number = Nhập số hợp lệ (+84 339161999)


- Setting heading trong section 2:  

+ Label = Make a call 2  

+ Action = Make a call  

+ Number = Nhập số hợp lệ (1-900-6098)


- Setting heading trong section 3:  

+ Label = Make a call 3  

+ Action = Make a call  

+ Number = Nhập đúng số  (0979995575)


- Setting heading trong section 4:  

+ Label = Make a call 4  

+ Action = Make a call  

+ Number = Nhập sai số; có ký tự đặc biệt, chứa chữ (abc@12)


- Setting heading trong section 5:  

+ Label = Make a call 5  

+ Action = Make a call  

+ Number = để trống 

",,"- Trên webfront hiển thị 5 block heading với text đúng như setting

",50
,,,,,,,,,,,,,,,,"Click heading save > click icon preview trên thanh bar

",,"Trên SF hiển thị 5 heading với text đúng như setting

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 1

",,"- Desktop: select option call của browser trên desktop  

- Mobile: Tạo cuộc gọi

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 2

",,"- Desktop: select option call của browser trên desktop  

- Mobile: Tạo cuộc gọi

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 3

",,"- Desktop: select option call của browser trên desktop  

- Mobile: Tạo cuộc gọi

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 4

",,"Không có action gì xảy ra

",50
,,,,,,,,,,,,,,,,"Click vào heading của section 5

",,"Không có action gì xảy ra

",50
87879,1416,SB_WEB_BUILDER_LB_BH_06,Actions links\_Check setting text với action = Go to section,1,,"Actions links\_Check setting text với action = Go to section

","- Shop: https://wb-block-heading.onshopbase.com/  

- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F  

- Shop add theme v3, đang ở trang customize theme  

- Sale page có 1 list các section với các setting sau:  

+ Section 1, 2, 3, 4, 5 đều chứa block heading  

+ Section 6, 7, 8 không chứa block button, chỉ chứa block khác (heading, icon,..)  

+ Section 2 được save as section với tên là Section abc  

+ Section 4 bị hide 

",0,0,0,0,50,187,,0,"- Setting heading trong section 1:  

+ Text = Test 1  

+ Action = Go to section  

+ Section = Section 8


- Setting heading trong section Abc:  

+ Text = Test 2   

+ Action = Go to section  

+ Section = Section 4


- Setting heading trong section 3:  

+ Text = Test 3  

+ Action = Go to section  

+ Section = Section abc


- Setting heading trong section 4:  

+ Text = Test 4  

+ Action = Go to section  

+ Section = Section 3


- Setting heading trong section 5:  

+ Text = Test 5  

+ Action = Go to section  

+ Section = để trống

",,"- Trên webfront, hiển thị list các block Heading với text tương ứng

",50
,,,,,,,,,,,,,,,,"Click button save > click icon preview trên thanh bar

",,"- Trên webfront, hiển thị list các block Heading với text tương ứng

",50
,,,,,,,,,,,,,,,,"Click vào heading 1

",,"Scroll đến section 8

",50
,,,,,,,,,,,,,,,,"Click vào heading 2

",,"Không có action gì xảy ra

",50
,,,,,,,,,,,,,,,,"Click vào heading 3

",,"Scroll đến section abc

",50
,,,,,,,,,,,,,,,,"Click vào heading 4

",,"Scroll đến section 3

",50
,,,,,,,,,,,,,,,,"Click vào heading 5

",,"Không có action gì xảy ra

",50
87878,1416,SB_WEB_BUILDER_LB_BH_05,Actions links\_Check setting text với action = Go to page,1,,"Actions links\_Check setting text với action = Go to page

","- Shop: https://wb-block-button.onshopbase.com/  

- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F  

- Shop đã add theme v3, mở customize theme này  

- Sale page đã add blank section 1, section 2, section 3, section 4, section 5, section 6, section 7  

- Đã add block button vào các section 1,  section 2, section 3, section 4, section 5, section 6, section 7  

- Store có collection 1, product 1, blog 1, page Contact us 

",0,0,0,0,50,187,,0,"- Setting text của block Heading trong section 1:  

+ Text = Heading 1  

+ Action = Go to page  

+ Page = Home  

+ New tab = ON


- Settingtext của block Heading trong section 2:  

+ Text: Heading 2  

+ Action = Go to page  

+ Page = Collections > Chọn collection 1  

+ New tab = OFF


- Setting text của block Heading trong section 3:  

+ Text: Heading 3  

+ Action = Go to page  

+ Page = Products > Chọn product 1  

+ New tab = ON


- Setting text của block Heading trong section 4:  

+ Text: Heading 4  

+ Action = Go to page  

+ Page = Pages > Chọn Contact Us  

+ New tab = ON


- Setting text của block Heading trong section 5:  

+ Text: Heading 5  

+ Action = Go to page  

+ Page = Blogs > Chọn Blog 1  

+ New tab = OFF


- Setting text của block Heading trong section 6:  

+ Label = Heading 6  

+ Action = Go to page  

+ Page = Collection list  

+ New tab = OFF


- Setting text của block Heading trong section 7:  

+ Label = Heading 7   

+ Action = Go to page  

+ Page = Blog list  

+ New tab = OFF


- Setting text của block Heading trong section 8:  

+ Label = Heading 8  

+ Action = Go to page  

+ Page = để trống  

+ New tab = OFF

",,"- Trên WF, hiển thị list các block heading:  

- Heading 1  

- Heading 2   

- Heading 3  

- Heading 4  

- Heading 5   

- Heading 6   

- Heading 7  

- Heading 8

",50
,,,,,,,,,,,,,,,,"Click button save > click icon preview trên thanh bar

",,"- Trên SF, hiển thị list các block heading:  

- Heading 1  

- Heading 2   

- Heading 3  

- Heading 4  

- Heading 5   

- Heading 6   

- Heading 7  

- Heading 8

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 1 ngoài SF

",,"- Open tab mới  

- Điều hướng đến đúng Homepage (domain)

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 2 ngoài SF

",,"- Điều hướng đến Collection 1, loading ngay ở tab đang action (domain/collections/collection 1)  

- Hiển thị đúng thông tin của collection

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 3 ngoài SF

",,"- Open tab mới  

- Điều hướng đến Product 1 (domain/products/Product 1)  

- Hiển thị đúng thông tin của product

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 4 ngoài SF

",,"- Open tab mới  

- Điều hướng đến Contact us (domain/pages/contact-us)  

- Hiển thị đúng thông tin của page

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 5 ngoài SF

",,"- Điều hướng đến Blog 1, loading ngay ở tab đang action (domain/blogs/blog 1)  

- Hiển thị đúng thông tin của blog

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 6 ngoài SF

",,"- Điều hướng đến collection list page, loading ngay ở tab đang action (domain/collections)  

- Hiển thị đúng các collection trong collection list

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 7 ngoài SF

",,"- Điều hướng đến Blog list, loading ngay ở tab đang action (domain/blogs)  

- Hiển thị đúng các blog trong blog list

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 8 ngoài SF

",,"- Ko có action gì xảy ra, vẫn ở trang SF hiện tại

",50
87877,1416,SB_WEB_BUILDER_LB_BH_04,Actions links\_Check setting text với action = Open a link,1,,"Actions links\_Check setting text với action = Open a link

","- Shop: https://wb-block-heading.onshopbase.com/  

- Acc: shopbase@beeketing.net / Q(f!3Kx+6n;?Us%F  

- Shop đã add 1 theme v3, mở trang customize theme đó   

- Đã add section A có block Heading 1, Heading 2, Heading 3, Heading 4

",0,0,0,0,50,187,,0,"- Click select block Heading  

- Click ""Edit text"" trên thanh quickbar   

- Bôi đen text ""title"" của block Heading, chọn actions ""Links"" trên thanh quickbar Edit text

",,"Hiển thị drop down list các actions links bao gồm:   

- Open a link  

- Go to page  

- Go to section  

- Make a call  

- Send email to  

",50
,,,,,,,,,,,,,,,,"Setting block Heading 1 có   

+ Text: Open a link 1  

+ Action = Open a link  

+ Target URL = https://www.google.com/  

+ New tab = ON  

Setting block Heading 2 có   

+ Text: Open a link 2  

+ Action = Open a link  

+ Target URL = /pages/about-us  

+ New tab = ON  

Setting block Heading 3 có   

+ Text: Open a link 3  

+ Action = Open a link  

+ Target URL = để trống   

+ New tab = ON  

Setting block Heading 4 có   

+ Text: Open a link 4  

+ Action = Open a link  

+ Target URL = 12344  

+ New tab = OFF

",,"- Trên WF, hiển thị list các block heading:  

- Heading 1  

- Heading 2   

- Heading 3  

- Heading 4

",50
,,,,,,,,,,,,,,,,"Click button save > click icon preview trên thanh bar

",,"- Trên SF, hiển thị list các block heading:  

- Heading 1  

- Heading 2   

- Heading 3  

- Heading 4

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 1 ngoài SF

",,"- Open tab mới  

- Điều hướng đến đúng trang https://www.google.com/

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 2 ngoài SF

",,"- Open tab mới  

- Điều hướng đến đúng trang domain/pages/about-us

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 3 ngoài SF

",,"- Không Open tab mới  

- Vẫn ở trang SF hiện tại

",50
,,,,,,,,,,,,,,,,"Click vào block Heading ở section 4 ngoài SF

",,"- Không Open tab mới  

- Redirect tới link ngay trong tab đang mở  

- URL là domain/đúng link đã nhập   

domain/12344  

- Hiển thị page 404

",50
84481,1416,SB_WEB_BUILDER_BH_14,Check hiển thị text khi thêm các variable của text editor,1,238,,"- Shop: <https://au-wsb-sections.onshopbase.com/>  
Account: shopbase@beeketing.net  
Pass: Q(f!3Kx+6n;?Us%F  
- Shop add theme website builder và active theme này  
- Customize website builder active  
- Page 1 đang có 2 block: Heading và Paragraph  
+ Tên của Store {{shop.name}}  
+ Địa chỉ Email {{shop.email}}  
+ Số điện thoại {{shop.phone}}  
+ Địa chỉ {{shop.address}}  
+ URL Homepage {{shop.domain}}",1,0,0,,50,187,,0,Click vào Paragraph block,,"Mở quick bar setting, có option Edit text <http://joxi.ru/xAePXDZUM0RQe2>",50
,,,,,,,,,,,,,,,,Click Edit text,,"Mở setting trên desktop đủ các trường, trong đó có Insert variable[http://joxi.ru/xAePXDZUM0RQe](http://joxi.ru/xAePXDZUM0RQe2)2",50
,,,,,,,,,,,,,,,,Click Get text from,,"Hiển thị dropdown list   
a. New Ecom:Shop có thêm 3 options con 


- Name  
- Domain  
- Address  
  
b. Creator:   
- Shop có 3 options tương tự new ecom  
- Profile có 2 options:  
Name & Bio

",50
,,,,,,,,,,,,,,,,"Click chọn Shop name, nhấn save",,"- Trên web front:  
Hiển thị input {{SHOP.NAME}} tại vị trí chuột http://joxi.ru/4AkdEoXHjQXkDr  
- Trên SF:   
Hiển thị paragraph block: ""au-wsb-sections.onshopbase.comParagraph block""",50
,,,,,,,,,,,,,,,,"Click chọn store domain, nhấn save","a. Shop Creator  
b. Shop Newecom","a. Đối với Creator:  
- Hiển thị primary domain của dòng creator thay vì myshopbase.net/onshopbase.com  
b. Đối với Newecom:  
- Trên web front:  
Hiển thị input {{SHOP.NAME}} tại vị trí chuột http://joxi.ru/4AkdEoXHjQXkDr  
- Trên SF:   
Hiển thị paragraph block: ""au-wsb-sections.onshopbase.comParagraph block""",50
,,,,,,,,,,,,,,,,"Nhập tên shop trong paragraph block, chọn Shop name trong Insert variable",,"- Trên web front:  
Hiển thị input: ""[au-wsb-sections.onshopbase.com](http://au-wsb-sections.onshopbase.com/){{SHOP.NAME}}"" tại vị trí chuột http://joxi.ru/4AkdEoXHjQXkDr  
- Trên SF:   
Hiển thị paragraph block: ""au-wsb-sections.onshopbase.comau-wsb-sections.onshopbase.comParagraph block""",50
,,,,,,,,,,,,,,,,Click vào heading block,,"Mở quick bar setting, có option Edit text <http://joxi.ru/xAePXDZUM0RQe2>",50
,,,,,,,,,,,,,,,,Click Edit text,,"Mở setting trên desktop đủ các trường, trong đó có Insert variable[http://joxi.ru/xAePXDZUM0RQe](http://joxi.ru/xAePXDZUM0RQe2)2",50
,,,,,,,,,,,,,,,,Click Get text from,,"Hiển thị dropdown list đủ 6 trường như design:  
- Shop name  
- Address  
- Store d[omain](http://joxi.ru/L21MJzgiweRe92)[http://joxi.ru/L21MJzgi](http://joxi.ru/L21MJzgiweRe92)weRe92",50
,,,,,,,,,,,,,,,,"Click chọn Shop name, nhấn save",,"- Trên web front:  
Hiển thị input {{SHOP.NAME}} tại vị trí chuột http://joxi.ru/4AkdEoXHjQXkDr  
- Trên SF:   
Hiển thị heading block: ""au-wsb-sections.onshopbase.comheading block""",50
,,,,,,,,,,,,,,,,"Click chọn store domain, nhấn save",,"a. Đối với Creator:  
- Hiển thị primary domain của dòng creator thay vì myshopbase.net/onshopbase.com  
b. Đối với Newecom:  
- Trên web front:  
Hiển thị input {{SHOP.NAME}} tại vị trí chuột http://joxi.ru/4AkdEoXHjQXkDr  
- Trên SF:   
Hiển thị heading block: ""au-wsb-sections.onshopbase.comheading block""",50
,,,,,,,,,,,,,,,,"Nhập tên shop trong heading block, chọn Shop name trong Get text from",[au-wsb-sections.onshopbase.com](http://au-wsb-sections.onshopbase.com/),"- Trên web front:  
Hiển thị input: ""[au-wsb-sections.onshopbase.com](http://au-wsb-sections.onshopbase.com/){{SHOP.NAME}}"" tại vị trí chuột http://joxi.ru/4AkdEoXHjQXkDr  
- Trên SF:   
Hiển thị heading block: ""au-wsb-sections.onshopbase.comau-wsb-sections.onshopbase.comheading block""",50
,,,,,,,,,,,,,,,,Switch mobile và Check tương tự,,Tương tự như desktop,50
,,,,,,,,,,,,,,,,Đổi domain và check variable Shop domain,Liên hệ Huy hoặc Elsa để lấy domain test,Hiển thị đúng với tên  domain đã đổi,50
,,,,,,,,,,,,,,,,Click Get text from > Shop address,,"- Trên web front:  
Hiển thị input {{SHOP.ADDRESS}} tại vị trí chuột   
- Trên SF:   
Hiển thị heading block: có vị trí mà user đã setup",50
