case_id,module_id,case_code,case_name,case_is_approved,case_approved_by_id,case_description,case_pre_conditions,case_need_automation,case_is_automated,case_is_api,case_risk_level,case_ordering,case_qa_id,case_dev_id,collection_id,step_action,step_input_data,step_expected_result,step_sort
96918,1700,SB_WEB_BUILDER_LB_BBC_20,Kiểm tra product không thuộc collection nào,1,,"Kiểm tra breadcrumb cho product không thuộc collection nào

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2. A được add vào collection X cuối cùng   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product   

6. Enable FS related collection

",1,0,0,0,50,25,136,0,"1. Click chọn show related collection, input data ở prefix  & save setting

","- related\_collection = Yes  

- Prefix = ""You may also like to check""

","Hiển thị breadcrumb trên preview panel:   

You may also like to check: Home > All > C

",50
,,,,,,,,,,,,,,,,"2. Kiểm tra hiển thị ở preview page và store front

",,"Hiển thị breadcrumb:   

You may also like to check: Home > All > C

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra hiển thị ở SF Mobile

",,"Hiển thị breadcrumb:   

You may also like to check: Home > All > C

",50
96917,1700,SB_WEB_BUILDER_LB_BBC_19,Kiểm tra khi turn Off setting related collection,1,,"Kiểm tra khi tắt setting cho related\_collection = OFF

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product 

",1,0,0,0,50,25,136,0,"1. Click chọn related collection = off, input data ở prefix  & save setting

","- related\_collection = No

","Hiển thị breadcrumb trên preview panel:   

Home > X > A

",50
,,,,,,,,,,,,,,,,"2. Kiểm tra breadcrumb trên Store Front của product A khi vào từ collection X

",,"Hiển thị breadcrumb:   

Home > X > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra breadcrumb trên Store Front của product A khi vào từ Home

",,"Hiển thị breadcrumb:   

Home > All > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra breadcrumb trên Store Front của product A khi vào từ Collection Y

",,"Hiển thị breadcrumb:   

Home > Y > A

",50
96916,1700,SB_WEB_BUILDER_LB_BBC_18,Kiểm tra enable FS cho breadcrumb,1,,"Kiểm tra khi bật FS cho related\_collection

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product 

",0,0,0,0,50,25,136,0,"1. Kiểm tra giao diện feature related\_collection & default status của toggle button Show related collection

",,"Hiển thị đúng các thông tin như design:   

- Text label   

- Radio button  

- Text field prefix  

- Placeholder của text field  

- Default status của toggle Show related collection = OFF  

Link design: https://www.figma.com/file/9J11n3j1lG01kkCASUhmjc/branch/ikPwNcrNr0TyOXaaP6p6Ql/%5B-WB-%5D-Blocks?type=design&node-id=64365%3A126657&mode=design&t=SPBAlXe0IY4X9ZDk-1

",50
96915,1700,SB_WEB_BUILDER_LB_BBC_17,Tắt FS trên Hive,1,,"Kiểm tra khi tắt FS cho related\_collection

","1. User đăng nhập vào ShopBase   

user: dpro-qe-1@beeketing.net  

pass: 43AhIn|VWp;[?9&  

shopid:10336689   

shopname: test\_related\_collection


2. Các collection list đã set up sẵn:   

- Collection list X  

- Collection list Y  

3. Product đã setup sẵn:   

- Product A nằm trong cả collection 1 và collection 2   

- Product B chỉ nằm trong collection 1   

- Product C không nằm trong collection nào.   

4. Đăng nhập vào Web builder => Product details A  

5. Add Block BreadCrumb cho product 

",0,0,0,0,50,25,136,0,"1. Kiểm tra giao diện feature related\_collection

",,"Ẩn hết các setting cho related collection

",50
,,,,,,,,,,,,,,,,"2. Kiểm tra breadcrumb trên Store Front của product A khi vào từ collection X

",,"Hiển thị breadcrumb trên preview panel:   

Home > X > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra breadcrumb trên Store Front của product A khi vào từ Home

",,"Hiển thị breadcrumb trên preview panel:   

Home > All > A

",50
,,,,,,,,,,,,,,,,"3. Kiểm tra breadcrumb trên Store Front của product A khi vào từ Collection Y

",,"Hiển thị breadcrumb trên preview panel:   

Home > Y > A

",50
